sent0	sent1	hard_neg
who plays <e> in the looney tunes show?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.species ?y .?y ns:fictional_universe.character_species.characters_of_this_species ?x .
who was the winner of the 2009 nobel <e>?	ns:award.award_category.winners ?y .?y ns:award.award_honor.award_winner ?x .	ns:award.award_category.category_of ?y .?y ns:award.award.category ?x .
what music did <e> do for twilight?	ns:music.artist.track ?x .	ns:film.person_or_entity_appearing_in_film.films ?x .
which book did <e> write in 2007	ns:book.author.book_editions_published ?x .	ns:people.person.employment_history ?x .
who plays <e> on buffy the vampire slayer?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.romantically_involved_with ?y .?y ns:fictional_universe.romantic_involvement.partner ?x .
which cambridge college did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:type.object.type ?x .
who is the governor of Arizona in 2009?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.offices_positions ?x .
who played <e> in heroes?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:base.fictionaluniverse.fictional_killer.characters_killed ?y .?y ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?x .
what team did Allen Iverson play for after the 76ers?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.position_s ?y .?y ns:common.topic.image ?x .
who nikki reed play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.film_series ?y .?y ns:common.topic.notable_for ?x .
which album did <e> release in 1995?	ns:music.artist.album ?x .	ns:music.artist.label ?x .
who was <e>'s first husband?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:base.dancingwiththestars.contestant.professional_dance_partner ?y .?y ns:tv.tv_actor.guest_roles ?x .
what is the genre of the movie <e>	ns:film.film.genre ?x .	ns:film.film.runtime ?x .
what future <e> dictator was in training to be a preist when he was turned on by marxism?	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .
what hong kong films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .
what is the currency of <e> in 2010?	ns:location.country.currency_used ?x .	ns:location.statistical_region.gni_in_ppp_dollars ?x .
what movies has <e> been in 2011?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.type_of_appearance ?x .
who does the voice of <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.species ?y .?y ns:type.object.name ?x .
what movie did <e> won his first oscar?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:base.saturdaynightlive.snl_fiver_timer.first_appearance ?y .?y ns:tv.tv_series_episode.production_number ?x .
who plays steffy on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.episodes ?y .?y ns:tv.tv_series_episode.guest_stars ?x .
where was the first <e> located?	ns:organization.organization.headquarters ?y .?y ns:location.mailing_address.citytown ?x .	ns:base.cars_refactor.company.primary_make ?y .?y ns:automotive.make.parent_company ?x .
who did the voice of <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.character ?x .
which episode of a tv serieses has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .
who does <e> work for now?	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.company ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
what year did president Obama graduate from Columbia University?	ns:education.educational_institution.students_graduates ?y .?y ns:education.education.end_date ?x .	ns:education.educational_institution.total_enrollment ?y .?y ns:measurement_unit.dated_integer.year ?x .
who does <e> play for in the nba?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.position_s ?y .?y ns:basketball.basketball_position.players ?x .
who shot and killed <e>?	ns:user.alexander.misc.murdered_person.murdered_by ?x .	ns:people.deceased_person.cause_of_death ?x .
what <e> had hair that made him strong?	ns:fictional_universe.person_in_fiction.representations_in_fiction ?x .	ns:people.person.parents ?x .
who is female lead in <e>	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.runtime ?y .?y ns:film.film_cut.runtime ?x .
who is the political leader of <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:common.topic.article ?x .
who is the <e> now?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:people.person.gender ?y .?y ns:common.topic.notable_for ?x .
which architectural structure did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:common.topic.notable_for ?x .
which 1990 sport athlete was known by the nickname <e>?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.player ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.career_start ?x .
who did <e> play for before celtics?	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.team ?x .	ns:basketball.basketball_player.career_averages ?y .?y ns:basketball.basketball_player_career_stats.assists1 ?x .
what group of islands is <e> a part of	ns:location.country.national_anthem ?y .?y ns:government.national_anthem_of_a_country.country ?x .	ns:location.location.contains ?y .?y ns:geography.mountain.prominence ?x .
what hong kong films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:music.artist.album ?y .?y ns:music.album.release_date ?x .
where did <e> live before he died?	ns:music.artist.origin ?x .	ns:people.person.place_of_birth ?x .
who is the new <e> iv u by	ns:music.musical_group.member ?y .?y ns:music.group_membership.group ?x .	ns:music.artist.track_contributions ?y .?y ns:music.track_contribution.track ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.population ?x .
who is <e> jr s father?	ns:fictional_universe.fictional_character.parents ?x .	ns:fictional_universe.fictional_character.romantically_involved_with ?x .
who is the founder of the <e> church?	ns:people.person.places_lived ?y .?y ns:people.place_lived.person ?x .	ns:religion.founding_figure.religion_founded ?y .?y ns:religion.religion.beliefs ?x .
what team did <e> play for in 2009?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:soccer.football_player.position_s ?y .?y ns:sports.sports_position.players ?x .
who is the president of <e>?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:organization.organization.founders ?y .?y ns:education.academic.advisees ?x .
who was the British leader during the Cold War?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:royalty.monarch.from_date ?x .
who is the governor of Arizona in 2009?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:fictional_universe.fictional_setting.characters_that_have_lived_here ?y .?y ns:film.film_character.portrayed_in_films ?x .
what university did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:base.gender.gender_identity.people ?x .
what was liam neeson's character in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.film_series ?y .?y ns:film.film_subject.films ?x .
who plays ethan on <e> soap opera?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.episodes ?y .?y ns:tv.tv_series_episode.episode_number ?x .
what team did Allen Iverson play for after the 76ers?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.games ?x .
who is <e> of Spain in 2011?	ns:government.government_office_category.officeholders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.image ?y .?y ns:common.image.size ?x .
what college did <e> go to?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:type.object.name ?x .
who does the voice of kovu in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.prequel ?y .?y ns:film.film.sequel ?x .
who was michael jackson in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.object ?x .
when did <e> win the booker prize	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.year ?x .	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .
when did mykel hawke and <e> get married?	ns:people.person.spouse_s ?y .?y ns:people.marriage.from ?x .	ns:people.person.education ?y .?y ns:education.education.institution ?x .
who did <e> surrender to in ww2?	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:location.statistical_region.places_exported_to ?y .?y ns:location.imports_and_exports.exported_to ?x .
which doctor was the son of <e>	ns:people.person.children ?x .	ns:common.topic.article ?x .
who has the most elementary schools named for him in the <e>?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .	ns:religion.religious_leadership_jurisdiction.leader ?y .?y ns:religion.religious_organization_leadership.jurisdiction ?x .
who is the coach of <e> now?	ns:sports.sports_team.coaches ?y .?y ns:sports.sports_team_coach_tenure.coach ?x .	ns:base.schemastaging.sports_team_extra.managers ?y .?y ns:base.schemastaging.sports_team_manager_tenure.manager ?x .
what basketball team does <e> play for	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.career_start ?x .
where did <e> live before he died?	ns:people.person.place_of_birth ?x .	ns:people.person.places_lived ?x .
which big screen movies has <e> starred in	ns:award.award_nominated_work.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:film.film.featured_film_locations ?y .?y ns:visual_art.art_owner.artworks_owned ?x .
who is the voice of stewie griffin from <e>?	ns:tv.tv_program.program_creator ?x .	ns:tv.tv_program.regular_personal_appearances ?x .
what year did the <e> go to the world series?	ns:sports.sports_team.championships ?x .	ns:sports.sports_team.founded ?x .
what shares a border with <e> united states?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:meteorology.cyclone_affected_area.cyclones ?y .?y ns:meteorology.tropical_cyclone.affected_areas ?x .
what high school did <e> go to?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .
what character did <e> play on 90210?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_director.episodes_directed ?y .?y ns:tv.tv_series_episode.previous_episode ?x .
who played <e> in heroes?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.occupation ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .
